2216627192	E8qsNpqQ5	柠檬黄莲味中秋	NULL	Lemon flavor berbetine Mid Autumn Festival
2312342811	E8qwu72R5	八月十五[干杯]	NULL	August fifteen [cheers]
2312757953	E8LM3smj3	分享图片	NULL	Share pictures
2313530025	E8Q311ygG	有一种爱情叫相濡以沫，却厌倦到终老；有一种痛苦是相忘于江湖，却怀念到哭泣。大张旗鼓的离开都是试探，真正的离开没有告别，悄无声息。	NULL	There is a love called to each other, but tired to live; there is a pain is known in the arena, but remember to cry. Put up a pageantry leave is tentative, really leave without saying goodbye, quietly.
2313879371	E8gf18OC9	257/366【回家的路.】	NULL	257/366 the way home.
2313968341	E838Ewl9t	劳资水逆还有完没完，还有啥大招儿等着我没，我都要怒了	NULL	Industrial water inverse have finished, what big trick children waiting for me, I will be angry
2314335603	E8yCoo0xE	[傻笑]哈哈哈哈	NULL	[laughs] haha
2314646732	E8JsPBazE	分享图片	NULL	Share pictures
2315579285	E8XyVdspQ	【2015英剧：汤米夫妇探案集】 真是为这两夫妻操碎了心，太逗了。B站：	NULL	2015 British drama [Sherlock]: Tommy couple is really the two couples fuck broken heart, too funny. B station:
2315857923	E7TZ6qxSE	张老先生，风骨[good]	NULL	Mr. Chang, the character of [good]
2316382717	E8SdhEb3c	 京杭运河边偶遇了故城骑友张哥一行，故城←→济南，一天半，总里程300+，哥哥姐姐你们太帅了。今天到家，北京→临清康庄，总里程411，今天的外甥女叫了好多声舅舅，高兴的我[呲牙][呲牙]在家该吃吃该喝喝。 	NULL	Beijing Hangzhou canal across the Gucheng riding friends Zhang brother line, Gucheng vs. Ji'nan, one and a half, the total mileage of 300+, you're my brother and sister. Today at home, Beijing, Linqing Chong, the total mileage of 411, today's niece, that a lot of uncle, glad I bared teeth bared teeth. [] in the home to eat the drink.
2316906513	E8FeXei2D	第一次做，味道得到认可，腰疼也值了[鼓掌][鼓掌][鼓掌]	NULL	First, the taste is recognized, but also the value of the [[] the applause applause, applause]
2318018482	E8N7u2Rjg	一打开微博又是昨天Kimi过世的消息，记得07年夏天的加油好男儿，个性鲜明的他是我最关注的一个，再后来他似乎在我的视线范围内消失了，再次看到他是在陆贞传奇，我私下不止一次说过，他的当初鲜明的个性已经被娱乐圈磨平棱角了，不再是记忆里的乔任梁了。希望你下辈子是一个普通人。	NULL	It is an open micro-blog Kimi passed yesterday, remember the summer of 07 hero, personality he is one of my most attention, then he seems to be in my line of sight disappeared, saw him in Lu Zhen legend again, I have said more than once, he had personality is the entertainment circle smooth edges, is no longer the memory of Qiao Renliang. I hope you are an ordinary person in your next life.
2318614017	E8uClw7Tz	大早上的手机膜摔碎，胳膊也被划开花了，日	NULL	The morning of the mobile phone film broke, the arm is also zoned flower, day
2318984803	E8qBIvgj2	我分享了 的文章 	NULL	I share the article
2318994423	E8TKQAFZC	我说所有的酒 都不如你<br/><br/>	NULL	I said all the wine as you <br/><br/>
2319208997	E7QhWAkct	我分享了歌曲《Bye Bye Bye》 	NULL	I shared the song "Bye Bye Bye"
2319727283	E8s2C3NuR	虽然只是提了一下，但还是莫名的觉得难过<br/><br/>我本不擅长回忆，所以容易遗忘<br/><br/>这些年您没有好好陪过我，所以别人提起我都会莫名的伤心。我渴望却遥不可及	NULL	Although just mention, but inexplicably feel sad <br/><br/> I have not good memories, so easy to forget <br/><br/> the years you haven't accompany me, so I will mention inexplicable sadness. I long to be out of reach
2322498235	E8oEOsSgG	努力就一定会有回报！！	NULL	Efforts will be rewarded!!
2322561231	E8hGrtOmN	粉粉的[喵喵][喵喵]	NULL	Pink [] [] meow meow
2322835504	E8xMremN5	好运翻倍啦！我刚在陈年 和 的红包中抽到了现金哟~你也快来抽一个红包转运吧！	NULL	Luck doubles! I was in the old and the red envelopes of cash to yo ~ you will soon come to draw a red envelope transport!
2323133225	E8B1Uv9Px	你是自由的，我是附属的，她是永远的，我是错误的 分享单曲（）	NULL	You are free, I am attached, she is forever, I am the wrong to share a single ().
2323346380	E8TNhip1o	 爱你！！！！！	NULL	Love you!!!!!
2323476861	E8PIpnHkv	真的没有在地震吗	NULL	Really not in the earthquake
2323530014	E8otv142d	我把电脑密码忘了[拜拜]厉害了我的哥	NULL	I put the computer password forgot []. My brother.
2324020965	E8QmI33SJ	             2----         捕捉成功，获得附加镜花x1，太宰治x1 国木田独步x1  松X1（什么鬼）	NULL	2---- capture success, to obtain additional X1 X1 x1 kunikida doppo Kyoka, Taijae Ji pine X1 (what)
2324481012	E8zVG294e	人生不如意之事，十有一百。	NULL	Life is not the best thing, ten have one hundred.
2324841755	E8pCLxDit	厉害了我的粥！ &gt;&gt; 《一人饮酒醉》-m&gt;&gt; (来自)	NULL	I'm so sick of my porridge! &gt; &gt; "one drink drunk" (from) -m&gt; &gt;
2324967997	E7SV5jReg	珠圆玉润地老去	NULL	Excellent singing or polished writing to die
2325318960	E8XqPsygl	我参与了 发起的投票 【最具影响力男歌手票选】，我投给了“吴亦凡”这个选项。你也快来表态吧~	NULL	I took part in the poll of the most influential male singer [] voted, I voted for the "Wu Yifan" option. And you come to the position.
2325812115	E8z6cEBdc	学习工作使我快乐[微笑]	NULL	Work makes me happy [smile]
2325970195	E8O2S5IDc	♬分享来自乔任梁的MV《钻石》♬（来自 百万正版无损曲库）	NULL	Able to share from Qiao Renliang MV's "diamond" (from the millions of man's genuine lossless Music Library)
2327459510	E8w9NCKfg	[眨眼]	NULL	Blink of an eye
2327720832	E8RPbnMhd	突然好想喝咖啡啊，虽然我对这种饮料并没有研究，可是我有时候还挺爱喝的。	NULL	I suddenly want to drink coffee, although I did not study this kind of drink, but sometimes I still love to drink.
2327866001	E8eX1DCfb	头疼	NULL	headache
2328147130	E87EW6p0L	 火华社长 发福利啦！在微博买《追凶者也》和《我的战争》单笔订单满2张就有返现，我刚领到了10元！特价票也能参加，最高返20元！手速走起→_→ 	NULL	President of fire, hair and welfare! "The murderer" and also buy "my war" single orders over 2 pieces is back now in micro-blog, I just received a 10 yuan! Special tickets are also able to participate, the maximum return of 20 yuan! Go to _, hand speed
2328319707	E8FMPjxsy	自手机摔坏屏幕，今天，我对茶陵火车站的厌恶又多了一重[打脸] 	NULL	Since the mobile phone broken screen, today, my distaste for the Chaling Railway Station has a heavy [face]
2328620167	E8hRrcqkO	中秋快乐🌚怎么能不同步。	NULL	Happy Mid Autumn Festival how can not sync.
2328647140	E8ptdlWuW	一打开电台给我放say goodbye？？？	NULL	Open the radio to give me goodbye say???
2329070231	E8OxNvWzb	要去惠州的网吧上网了，想想还有点小激动呢。。	NULL	Want to go to the Internet cafe in Huizhou, think there is a little excited about it..
2329126613	E8J08ey4O	下次再也不要最后一天去了[doge]<br/>别个都大包小包的带起走，我们两个吃土[doge]只有看到<br/>我的熊本熊没有把它带走，怨念[萌] 	NULL	Next time don't last one day to go with another [doge]<br/> are the packages, we eat two soil [doge] only to see my <br/> Xiongben bear didn't take it, her adorable []
2330262004	E8Jm3qoGO	我刚刚获得5枚金牌，累计收获了6枚。拼脚力，来和我一起拼金牌吧！ 	NULL	I just won 5 gold medals, and I've got 6 gold medals. Fight leg muscles, to come and join me to fight for gold medal!
2330739094	E7R2yx775	《《秋-外三首》-海子》很喜欢！都来听听吧（分享自）	NULL	"" autumn three "- -" love song Hai zi! Come and listen to it (share the self)
2331577040	E8Bt36Yhk	被刷屏了 我只想知道什么是SM 	NULL	Is a scraper and I just want to know what is SM
2331715627	E7ZsGwVWn	这温度[感冒][感冒]	NULL	The temperature of cold cold [] []
2331765103	E8E7ztP0D	  和你在一起，今天听哭了……	NULL	Together with you, I hear you cry today......
2332079173	E8GeGaNGn	我他妈……无话可说……[微笑]       白瞎我四年半[微笑]	NULL	I fucking...... Have nothing to say...... [smile] I'm blind for four years and a half [smile]
2332196045	E8EAw2mtd	一路走好[祈祷][祈祷][祈祷]	NULL	Along the way, to pray pray pray [] []
2332411411	E8qMj7nGL	一堆人群中   因为心情   有强烈要离开的欲望    而有人正滔滔不绝的面对自己说着    就待着没走   满脑子要离开	NULL	A crowd of people because the mood has a strong desire to leave and some people are talking about it is not going to be full of mind to leave.
2334730701	E8SaGlSUL	跑步卡[跑]	NULL	Run card [run]
2336216773	E8Hb0p1Fq	对抑郁症最早的认识源自高中。一位学姐因为成绩不佳，压力过大，病了。经过治疗，复学后没多久又停学了，再之后就没见过她来上学。再之后就是在大学军训第一天，听说一位学长从文科楼跳了下来…我也一度被抑郁痛苦……心理疾病难治愈，苦不堪言，却又常常被人忽视。愿世上再无抑郁，安乐平安！	NULL	The earliest understanding of depression from high school. A sister because of poor grades, the pressure is too large, ill. After treatment, not long after the school was suspended, then I haven't seen her to go to school. After that on the first day of college military training, heard a senior from the liberal arts building jumped down... I was once depressed by the pain...... Psychological disease is difficult to cure, miserable, but often overlooked. May there be no more depression, peace and happiness in the world!
2336409803	E8BdRDvYI	刚刚看到 热门话题还在想也正常，07好男儿这一届当时喜欢的李易峰和三甲之一的井柏然都大红了，三甲之二的乔任梁和付辛博慢慢也终于要在娱乐圈熬出来了。然后的然后我懵逼了……	NULL	Just want to see a hot topic is also normal, 07 good man, this was the love of Li Yifeng and Jing Bairan are one of the top three of the two red, Qiao Renliang and Fu Xinbo also slowly and finally to boil out in the entertainment circle. And then my Meng force......
2336496825	E8Aoft9NO	乔任梁这事出来这么久…本人都还没更博辟谣…word哥…	NULL	Qiao Renliang this thing out for so long... I haven't even Bo rumor... Word elder brother...
2336738661	E8Pg6FoSF	大家好我想知道有没有深圳鸟 没有的话我等会再来问[喵喵][喵喵][喵喵][喵喵][喵喵][喵喵][喵喵]	NULL	Hello, I want to know if there is no Shenzhen bird, if not I will ask again. [] [] [meow meow meow meow meow meow meow] [] [] []
2337646892	E8IP2zV3x	月是故乡圆[月亮]	NULL	Moon is the home of the moon [moon]
2338118422	E8PuSoRfl	最为经典『张国荣跨越97演唱会重制版（终极版）_音乐选集_音乐_bilibili_哔哩哔哩弹幕视频网』	NULL	The most classic "across the Leslie Cheung concert 97 remake (Ultimate Edition) _ Music Anthology _ music _bilibili_ BiliBili barrage video network.
2338320547	E8redwGEi	想听很悲伤很悲伤的歌～ 	NULL	Want to listen to very sad and very sad song
2338994583	E8Fgs0VHR	  	NULL	
2339041063	E8B55nDII	慌张cp[泪][泪][泪]太突然了[泪]  	NULL	Cp[[] [] panic tears too suddenly tears tears] [tears]
2339378003	E8s90zYi1	越累越睡不着，人心都难测，也许承受了很多这个年纪不该有的苦恼，退一步海阔天空，做自己才好，别管那么多，晚安	NULL	The more tired the can't sleep, people are unpredictable, perhaps under a lot of age should not have trouble, step back and do their own, as boundless as the sea and sky, not so much.
2340160415	E8NuF5d2Z	我们读不到很多历史真相，是因为被掩盖，曲解或篡改了。历史其实是统治者写的。『解密！为什么英法联军烧的是圆明园，而不是紫禁城？』	NULL	We can't read a lot of historical facts because they are covered, distorted, or tampered with. History is written by the ruler. Decryption! Why is it that the British and French forces are burning Old Summer Palace, not the Forbidden City? "
2341099094	E8xPU2iHW	『“汉字听写大会”总冠军陈柯羽的妈妈，告诉你阅读有多重要』	NULL	"The Chinese character dictation conference," Chen Keyu's mother, tells you how important it is to read.
2341912922	E8MIOhLAY	那么多当你觉得快要了你的命的事情，那么多你觉得快要撑不过去的境地，都会慢慢的好起来。就算再慢，只要你愿意等，它也愿意成为过去。而那些你暂时不能战胜的，不能克服的，不能容忍的，不能宽容的，就告诉自己，凡是不能杀死你的，最终都会让你更强。来笑一个吧、	NULL	So when you think about your life so many things, you think is not the last position, will slowly get better. Even if it is slow, as long as you are willing to wait, it is willing to become the past. And those who you can not overcome, can not be overcome, can not be tolerated, can not be tolerated, told himself, who can not kill you, and ultimately will make you stronger. Come and laugh,
2341944703	E8PqDcKtk	牢记九一八！【铭记历史，勿忘国耻】“从那个悲惨的时候，脱离了我的家乡……”1931年9月18日夜，日本悍然发动侵华战争，共造成3500万中国军民伤亡。勿忘国耻，不是为了延续仇恨；铭记历史，是为了中华崛起！我们愤怒但不失理智，热血但不尚暴力。少年强，中国强，我们自强，中国才能自强！	NULL	Bear in mind 918! [] remember history, do not forget national humiliation "from that miserable when I left home......" The night of 18 September 1931, Japan launched a brutal war of aggression against China, killing 35 million Chinese civilian casualties. Do not forget national humiliation, not to perpetuate hatred; remember history, to the rise of china! We are angry, but not without reason, but not violence. Young strong, China is strong, we are strong, China can be strong!
2342202703	E8pZgxgpB	今天过节你开心吗 🤗 	NULL	Today you happy holidays
2342288205	E8SWQjcCD	雪崩的时候，没有一片雪花是无辜的	NULL	When an avalanche, no snowflake is innocent
2342370987	E8mOOBOtW	给你们安利一个超好玩的，有毒的游戏，贪吃蛇大作战，哈哈哈哈哈！[吐舌头][吐舌头][吐舌头]	NULL	Give you a super fun Amway, toxic game, snake big fight, ha ha ha ha ha! [] [] [tongue tongue tongue]
2342485000	E8QEYFyEJ	勿忘国耻…9.18时刻准备着！	NULL	Do not forget national humiliation... 9.18 time to prepare!
2343140685	E8lfbw666	油管热门短视频《我很丑》 柚子木字幕组  	NULL	The popular short video "my ugly tubing" Grapefruit wood subtitle group
2343756517	E8GzO6tPd	看松鼠要起早，因为它们要睡午觉～[吐舌头]	NULL	See the squirrel to get up early, because they want to take a nap ~ [tongue]
2343893177	E8NZwoirT	人生最是无常，你永远都不知道明天和意外哪个先来。珍惜可以醒来的日子，怜取眼前人。 	NULL	Life is the most volatile, you never know tomorrow and accident which comes first. Cherish the day wake up in front of people take pity.
2344337187	E8TQa1BNZ	今日电影分享，不错的爱国片，吴京的表现很出彩	NULL	Today to share the movie, patriotic piece good, Wu Jing's performance is good
2345270213	E8TWq2HoH	  <br/>引子：大黄脸同学因为骂紫毛衣同桌欠，所以被紫毛衣拿枪威胁。<br/>第一幕：啊？你要开枪吗😮[手枪]<br/>第二幕：我赌枪里没子弹[斜眼][手枪]<br/>第三幕：等一下，容我再想想🤔[手枪]<br/>第四幕：算了，随你，开枪吧🙄[手枪]<br/>第五幕：反正也是把破水枪[眼泪][手枪]<br/>结局：紫毛衣完败🙋🏻🏳	NULL	<br/> introduction: big yellow classmates because if a purple sweater is purple sweater table less, so take a gun. <br/> Scene 1: ah? Are you going to shoot it [pistol]<br/> second acts: I bet no bullets. [sideways pistol]<br/> third act gun: wait, let me think of [pistol]<br/> fourth act: Well, as you shoot [pistol]<br/> fifth act: it is broken, the outcome of]<br/> pistol gun [tears purple sweater defeat
2346300714	E8edaFeFI	[哆啦A梦吃惊]115卡特样6[拍照][汽车][馋嘴][馋嘴][馋嘴][花心][发红包啦]度盘，360盘，115盘杆，不行了就换，厮k啪哭了哭哭现在为了防止世界被破坏欧美[嘻嘻]成人片 1ssj美女集中营美女诱惑韩国美女GIRL弄死！ytpre	NULL	[A Doraemon]115 Carter 6[photographed, surprised, greedy, greedy, greedy car. [] red flower bag it] dial, 360 disc, 115 disc bar, no change, he cried with K cry now in order to prevent the destruction of the world and I want. Adult film 1ssj beauty beauty camp the temptation to kill South Korean beauty GIRL! Ytpre
2346459602	E8P6qjIA7	香槟。加牛排。接着醉上毛班。	NULL	Champagne. Beef steak. Then drunk on mauban.
2347740390	E8py7FkTY	分享图片	NULL	Share pictures
2347806103	E8QDc6teY	10[心][心][心][爱你][爱你][爱你] 	NULL	10[[] [] [] heart heart heart love you love you
2348382113	E8Pj85NpI	  I can't say why I love you,but I know  you're the reason that I don't like others. 心相知，情相眷， 年迈蹒跚，仍和你同在。[心][心]  	NULL	I can't say why I love you, but I know you're the reason that I don't like others. heart to know, love is love, old tottering, still with you. [heart] heart.
2348421452	E8Bfm86ow	借我不惧碾压的鲜活	NULL	Borrow my fear of the fresh
2350089410	E8w4yiRGr	中秋节快乐！祝我中秋节快乐！[傻笑][傻笑][傻笑]	NULL	Happy mid autumn day! Wish me a happy mid autumn festival! [] [] [] giggle giggle giggle
2350335095	E8K465urv	 扇贝英语单词特训第96天：完成300个单词，明天继续	NULL	English word special training for ninety-sixth days: complete 300 words, continue tomorrow
2352526195	E8mVoEVoE	时间快得很，转眼就中秋了，往年你没打电话回家，老太一边生气一边念，我就发信息给你让你打电话回家，今年，没有念叨了，因为念了也没用……你最爱吃的蟹熟了 	NULL	Time is very quick, is the Mid Autumn Festival, last year you didn't call home, Granny angry side while reading, I will give you the information that you call home, this year, did not talk, because reading is also useless...... Your favorite crab is ripe.
2352550993	E8qrjrT8c	团圆团圆团圆团圆团圆团圆，团，圆！就在这样的阖家团圆的日子里，我好兄弟的母亲却离开了她的丈夫离开了她的儿子离开了她正兴高采烈准备迎娶的儿媳妇离开了人世！婶子啊，你怎么就这么走了呢[泪] 在天堂里不要再那么劳累了不要再操心了不要再惦记儿子了，还有我们这些兄弟们呢，您，安息吧[泪][泪]	NULL	Reunion, reunion, circle! You in this family reunion day, my good brother's mother left her husband left her son left she was jubilant to marry daughter-in-law passed away! Aunt ah, how do you go about [tears] not in heaven so tired. Don't worry about not to miss him, we have these brothers, you rest [tears, tears]
2353102584	E84uHzfKh	我怎么就碰不到性格很萌妹的男生呢[doge]	NULL	How can I touch the character is very cute girl boy [doge]
2353880017	E8gWkjBa7	假装自己回了家[微笑] 	NULL	Pretend to be home [smile]
2354086795	E8KgrafTY	我和你们就不一样，三天假放完难免会失落，我就不失落，我一天不放。下了两天雨，连月亮都没看到。 	NULL	I and you are not the same, three days leave will inevitably lose, I will not lose, I do not put a day. It rained for two days, even the moon is not seen.
2354560535	E8ALHfixs	听说美恐6水平回去了，突然不知道是该看还是不该看	NULL	I heard that the 6 level of fear of the United States to go back, and suddenly do not know is the look or not to see
2354965824	E87LyzMm0	分享图片	NULL	Share pictures
2355020453	E8G7B5eeu	经历了人生百态世间的冷暖，这笑容温暖纯真[祈祷][祈祷][祈祷]	NULL	Experienced the vicissitudes of life in the world's well-being, the warm smile, pray, pray and pray [pure]
2355377810	E8IE70QDz	很多时候 距离产生美	NULL	Many times the distance from the United States
2355767352	E8TUm5o3L	结合了n个鸟洞以后。。。我也认定小七是策划者。。。我睡不着了。。。我的七突然变得那么可怕我有点方[互相膜拜][互相膜拜][互相膜拜]	NULL	Combined with n after a bird hole... I also found seven is the mastermind... I can't sleep... My seven suddenly became so terrible I have a party. [] [mutual worship worship] worship each other each other
2356513702	E8RuWpxmh	收到了zzz[求关注][求关注][求关注]	NULL	Zzz[received attention seeking attention seeking, seeking attention].
2356968152	E8Nj6qLRE	唉，为什么节后第一天的前晚都会失眠/睡不好呢[闭眼]	NULL	Oh, why is the first day after night will sleep / sleep well. [closed]
2357103510	E8WNoyIc9	分享网页：酷我独家 | 张国荣从未曝光的国语数字EP《继续张国荣》正式上线        四首录音室录制从未曝光的国语新歌，哥哥迷人嗓音直抵人心耐人寻味()	NULL	Share: "cool | Leslie Cheung never released exclusive Mandarin digital EP" continue to Leslie Cheung "officially launched four first studio recording has never been exposed to Mandarin songs, brother charming voice to people (interesting)
2359117817	E8Ev05Pcp	这个社会就是戾气太重[蜡烛][蜡烛]	NULL	This society is too heavy, the candle candle hostility []
2359131550	E8cHYiKSy	  创意是好的，但还是有点过于超前了。一些人的素质决定，还不能向他们提供这样的服务。	NULL	The idea is good, but it's a bit too far ahead. Some people's quality decisions, but also not to provide them with such services.
2359645202	E8r3sAFAw	 不管什么节日，都要记得爱与美食不可辜负，大家一起深夜放毒[哈哈] 	NULL	No matter what holiday, we must remember that love and delicacy can not live up to all night, [laughs] poison
2362254634	E8EZmozrX	身体是心灵的显示器，如果身体不舒服，找找心灵的原因，将心态和意识调整好，也许会有意想不到的效果。	NULL	The body is the mind of the monitor, if the body is not comfortable, look for the cause of the soul, the mentality and consciousness to adjust well, maybe there will be unexpected results.
2363036654	E8FhFlwIT	今早看新闻，报道乔任梁的消息，第一感觉是恶作剧造谣，待细看，好像是真的，很恍惚的感觉，突然心里很难过，这么鲜活年轻的生命，那么温暖的笑容……	NULL	Read the news this morning, reported the news of Qiao Renliang, the first feeling is to look like a practical joke rumor is true, it is the feeling of trance, suddenly felt very sad, so fresh young life, so warm smile......
2363762747	E8ucD26pq	活得像个人就好	NULL	Live like a person
2364101185	E8mwxaIV0	中秋放假离开厦门，没想到厦门遭受这么严重的台风袭击，厦门挺住。ps：担心家里的窗户没关紧，确实没关紧呢。。。[悲伤][悲伤][悲伤]	NULL	Mid Autumn Festival holiday leave Xiamen, Xiamen did not expect to suffer so serious typhoon, Xiamen hold on. PS: home to worry about the window is not closed, do not shut... Sad sad sad. [] []
2365099515	E8GBz592g	[蜡烛][蜡烛][蜡烛]一路走好…	NULL	[[] []] a candle candle candle way...
2365354122	E8vJIowNl	最后刷一波就要回去当一只勤勤恳恳的工作汪了[doge] 	NULL	Finally, a brush to go back when a diligent work of Wang [doge]
2365484821	E8UgX3aur	分享图片	NULL	Share pictures
2365878064	E8XTW3q98	退役军人的悲哀我出医疗事故了，福建省人民医院骨科的庸医，陈鹏，时树培，林海仙，把我搞得半死不活，动腰椎手术，之前左腿痛，伸不直，右腿大腿内侧 痛能伸直，现在一边腿长一边腿短，右腰一直痛，关节和全身痛，请帮我[挖鼻][生病] 	NULL	Veterans of the sadness of my medical accident, Department of orthopedics, people's Hospital of Fujian province quack, Chen Peng, tree culture, Lin poisonii, make me half-dead, dynamic lumbar surgery, before the pain in my left leg, stretched straight, right leg thigh pain can now side straight, long legs while short legs, right waist pain has been. The joint and the body pain, please help me [nose] sick.
2366538751	E8qZ9uIZL	[星星][星星][星星][星星]， 躲过了三节车厢的僵尸，却抵不过最后一节车厢的人心。两个小时的惊险逃亡实实在在告诉我们善有多耀眼，恶就有多黑。所有主演的角色都代表了各色各样的人性，今年看过最棒的电影，没有之一！	NULL	[[] [] [] the stars stars stars stars, from the three car zombie, but arrived but the last carriage of people. Two hours of adventure to escape real tell us how bright the good, evil will be more black. All the starring role represents the diversiform nature, seen the best film of the year, not one!
2366990201	E8Je28eVJ	别叫我 让我睡几天[睡] 	NULL	Don't ask me to let me sleep for a few days.
2368304713	E8Y5Px5TQ	太贱了！想上去吐豌豆[笑cry]	NULL	Too cheap! Want to go up and spit peas [laughs cry]
2368383840	E8J1OrXE8	没有对比就没有伤害	NULL	Without contrast there is no harm.
2368841415	E8XzrD8rv	刷微博的声音变了，真难听！不习惯[生病]不喜欢[汗]	NULL	Brush micro-blog's voice changed, really ugly! Not accustomed to [sick] don't like [sweat]
2369864927	E8qAXAFgK	如果你想跟别人制造羁绊，就要承担流泪的风险！	NULL	If you want to make a bond with someone else, you have to bear the risk of tears!
2370321474	E8xfgkFr2	单曲循环！一路上山！	NULL	Single tune circulation！ All the way up the mountain!
2370423027	E8EhDh3ll	【金融界资讯】　　方法一：145天移动平均线选黑马　　1.连续20天左右145天移动平均线走平后略微上翘，此时股价已收在5天线上。　　2.MACD指标(26，12，9)中DIFF与DEA明显走平	NULL	A method for the financial sector [information]: 145 day moving average of 1 for 20 consecutive days to choose dark horse 145 day moving average to go flat after a slight upward, the stock price at this time has been received in the 5 antenna. 2.MACD indicators (26, 12, 9) in the DIFF and DEA significantly go flat
2370788657	E8Q6LzD4N	“想起你时，夏日草木，清和香气。”	NULL	"When you think of you, the summer vegetation, and the scent of it."
2371180250	E8AHYwTyP	微博这是瘫痪了吗，怎么进都进不去？	NULL	Micro-blog this is paralyzed, how to get into the do not go?
2371384851	E8QCGvBdn	走在路上 凡是看到人家提个生日蛋糕  我都会在心里说一句  生日快乐[嘻嘻][嘻嘻]	NULL	Go on the road to see people who make a birthday cake in my heart I will say Happy birthday, hee hee hee hee []
2371435860	E8XgLmGnu	快来看看楚大王澳洲代购 的微博不想上班只想吃的雪霏	NULL	Come see Chu king Australia purchasing micro-blog do not want to go to work just like snow Fei
2371551627	E8xz6pgrs	[星星][星星][星星][星星][星星]， 中国什么时候能拍出这种题材的电影～～	NULL	[[] [] [] the stars stars stars stars, stars, what time China can shoot this movie ~ ~
2371973391	E8JMUwV1T	 	NULL	
2372485924	E8i9052CZ	    中秋节快乐！记得吃月饼哦！[哆啦A梦微笑][馋嘴]	NULL	Happy mid autumn day! Remember to eat moon cake oh! [A Doraemon []] Chanzui smile
2372644543	E8XwL3Fru	早上吃了久违的煎饼和豆腐脑儿，咸死我了，一会儿工夫喝了两杯水了~	NULL	Eat pancakes and Tofu Pudding returning to the morning, when I'm gone for a while, drank two cups of water.
2373442381	E8QJYiSVz	而我也不能再对你好了	NULL	And I can't do you any more.
2374216357	E8R81mDgP	生在这个大世界。有各种各样困难和曲折需要等你经历。愿我身边的每一个人都可以平安健康的度过每一天。	NULL	Born in this big world. There are a variety of difficulties and twists and turns to need to wait for you to experience. I hope everyone around me will be able to spend every day safely and healthy.
2375727074	E8TMzh3pq	没跑	NULL	be bound to win through
2375785330	E8yyWrMH3	恨不得把所有照片都玩一遍[笑cry][笑cry][笑cry]	NULL	Hate not to have all the photos are playing again [laughs cry][laughs cry][laughs cry]
2376096363	E8pQmcWRj	讨厌过节	NULL	Hate the holidays
2377619441	E8poK9SXC	每年月饼都能搞点新闻出来！	NULL	Every year, the moon cake can get some news!
2378582250	E8OIkBfkH	最近也是想了很多也和朋友聊了很多，一年后的去留问题真的很难决定... 毕业留在首尔随随便便找个工作月薪轻轻松松过万虽然也是一个不错的选择，可是即使在这待了这么久也总觉得这是别人的国家不是我的.. 我得回我自己的国家，这种想法很强烈，可是却又害怕我的国家不要我....	NULL	Recently also want a lot of friends and also talked a lot, stay a year after graduation is really hard to decide to stay in Seoul... Casually find a job easily over a million a month although is also a good choice, but even here for such a long time to think this is not my country people I have to go to my country, this idea is very strong, but also afraid of my country. I don't...
2379264947	E8IcfAruU	today 	NULL	Today
2379804433	E8ICuyFyi	我把我的灵魂封在这信封里， 你去旅行的时候， 请把它随身带在口袋里， 挈带它同去玩玩， 但不许把它失落在路上。	NULL	I put my soul in the envelope, when you go to travel, please carry it in your pocket, carry it out, but don't put it on the way down.
2379876417	E884Nv2Gl	微博来点正常的[眼泪] [眼泪]	NULL	Micro-blog to point normal [tears] [tears]
2380239323	E8z5P5dMs	iPhone7/7Plus，还是黑色的好看。[爱你] 	NULL	IPhone7/7Plus, or black good-looking. [love you]
2382115063	E8q1gloOv	中秋佳节[汗]又是吃3天的节奏	NULL	The Mid Autumn Festival [sweat] is to eat 3 days of rhythm
2385079117	E8JCltQU9	【拒绝失眠 食疗小方法助你安然入梦】数羊？数星星？数楼梯？还是睡不着怎么办？很多朋友都有这样的问题，睡眠质量不好会直接导致第二天的精神状态萎靡不振。那么失眠怎么办呢？小编为大家带来失眠食疗小方法和治疗.. 详：	NULL	[insomnia dietotherapy small method to help you to dream] sheep? Count the stars? A few stairs? Still can not sleep how to do? Many of my friends have such problems, poor sleep quality will directly lead to mental state low-spirited second days. So insomnia how to do? Small make up for everybody to bring insomnia therapy small method and treatment.:
2385307351	E8wTRgD4N	霉了要死[衰][衰][衰][衰][衰]	NULL	The decline, decline by death. [] [] [] decline decline decline
2385691250	E8yVi190T	二缺二，下次掼蛋掼起来[偷乐]  	NULL	Two missing two, next time we whipped up [] whipped egg
2386022912	E83gNcDR0	空洞	NULL	empty
2386735564	E8R7NuGEy	[哆啦A梦微笑]自己做的芝士焗番薯，味道和在外面吃的差不多，表示不爱此物，做给他吃的！	NULL	[smile] A dream to do their own cheese baked sweet potatoes, taste and eat out almost, that does not love it, do for him!
2387574757	E7Tlg7R2F	大天朝的A股和工资就是这么不长进，太任性了。	NULL	Big China A shares and wages is so do not grow too headstrong.
