1688978637	E5PsWoYOV	水逆真的开始了	NULL	The water inverse really began.
1742566624	E5YN0Ad3T	你打sf出来的第一个字是什么？系列 首富的“小目标”都是我的“首付”完成的……哭出声来！	NULL	What was the first word you came out of SF? Series of the richest man's "small goals" are my "down payment" completed...... Cry!
1742566624	E5YK1Dh0A	说说你最反感女生（男生）的哪种不良习惯________________	NULL	What you dislike most girls (boys) what kind of bad habits ________________
1742966727	E5jde9jp8	分享图片	NULL	Share pictures
1742966727	E5jd7jkI2	分享图片	NULL	Share pictures
1743936503	E5X0NowsK	随意瞄了一眼那个微博，忍不住多看了一眼，里面的讲述仿佛刚发生在你我身上，所以截图发给你了。啧啧，你高大上的说了一句：“要看也看点有意义的。”什么是有意义的？我就喜欢接地气的，有烟火味的，能引我共鸣的文字。在你，唯升职加薪什嘛的才是正经事？那只是人生沧海的一粟而已矣……	NULL	Random glanced at the micro-blog, could not help but take a look at the inside of the story seems to have just happened to you and me, so screenshot sent to you. Gee, you tall to say: "want to see meaningful aspect." What is meaningful? I love down to earth, there is smoke, will lead me with words. In you, what is the only promotion and salary is a serious matter? That life is just a drop in the ocean just carry on......
1743936503	E5QafxBoJ	开始抱着好奇互粉，现在慢慢觉得这也是一种生活态度，积极而肯定。追求和享受互赞互粉的基本都是微博新人，俗称菜鸟。最初，我羞于启齿，不敢搭讪，牛刀小试后断然放下所谓的面子，要在生存，就奋勇向前不装逼。所谓的大V，也是这样过来的吧。讨厌骗粉的，人品大大的坏 。	NULL	Began to hold the curious and mutual powder, now slowly feel that this is a kind of life attitude, positive and affirmative. Pursuit and enjoyment of mutual praise and mutual powder is basically a new micro-blog, commonly known as rookie. First, I am ashamed, not categorically approached, a master hand's first small display put down the so-called face, to survive, they move forward zhuangbility. The so-called big V, is also like this to come over. Hate to deceive the powder, the character is a big bad.
1744207803	E5R3DqhNy	人都是只有喜欢的东西才会特别上心，所以一个人爱不爱你是很明显的。晚安！ 	NULL	People are only love that would be particularly hard, so a person loves you or not is very obvious. Good night
1744292871	E4UHW4IYA	什么都不想说[笑cry]	NULL	Don't want to say anything [laugh cry]
1744485281	E5P0ys0Br	[悲伤]大姨这么快就走了 好难过	NULL	[sad] have left so soon so sad
1744485281	E5Lv87LCi	[心] 	NULL	[heart]
1744914665	E5FCxvf48	作为好漂[km鼻血1]亮啊，又有才艺，挺好的。宅男，真的被他迷倒了。	NULL	As a good bleaching [km nosebleed 1] bright and talent, ah, very good. Indoorsman, he really adores.
1745153967	E5tBRbODn	[浮云][浮云][浮云]	NULL	[] [] [] cloud cloud cloud
1745231724	E5xt4wWSr	辣眼睛[傻眼]	NULL	Hot eyes [] dumbfounded
1745231724	E53WNBvxG	什么都好啊，就是我不好啊，我配不上人家呀[微笑]	NULL	What is good, that is, I am not good, I do not deserve the people ah [smile]
1745500130	E5wYIwA1T	知道这样会招人骂 [傻眼] 但是怎么样才能胖一点 越吃越瘦 [白眼]	NULL	Know that people will scold [] dumbfounded but how can a little fat eat more thin [eyes]
1745543813	E5MJfERgM	 “我希望有个如你一般的人”有点想去看这个电影[哈哈]	NULL	"I want someone like you," who wants to see the film.
1745543813	E5M8q9FRA	[偷笑][偷笑][偷笑]第一次给电视剧里出现的手机号打电话[哈哈][哈哈][哈哈][哈哈]还真能打通  .	NULL	[] [] [Laughing Laughing Laughing] for the first time in the TV series the mobile phone number to call, ha ha ha ha ha ha [] [] [laughs] really can get through.
1745547781	E5H8q8cvN	我前夫在江苏卫视演讲呢、穿一大背心儿、	NULL	My ex husband's speech in Jiangsu satellite TV, wearing a vest,
1745732097	E51DGzlOW	红包出现，两眼放电。小手一抖，红包到手！我刚抽到了凛_努力努力再努力 的现金红包喔！你也抽个红包开心下吧~	NULL	Red appears, the two discharge. Hand shake, hand in hand! I just got a _ work in cash envelopes! You also draw a red happy next bar ~
1745760957	E5DIXqBek	第一次碰到这样的地铁呢。	NULL	The first time I met this kind of subway.
1745760957	E5CjolX5A	难道。这就是我永远长不胖的原因。[拜拜]	NULL	Is it. This is the reason why I will never grow fat. Bye bye []
1745778784	E4Nfmw814	昨天还在下雨 今天就晴了 跟你在一起就是很幸运啊 💫 	NULL	It had been raining yesterday today is fine with you is very lucky
1745806417	E5VVowsva	单词卡<br/>	NULL	Word card <br/>
1745806417	E5Viz9mqg	【孙杨】孙杨唱歌《没有什么不同》2013 东方卫视 春晚   [爱心]️[爱心]️[爱心]️	NULL	[Sun Yang] Yang Changge sun "no different" what [love] 2013 Oriental TV show up [] [love] up up love
1745882865	E5j1YaoUr	我妈说的衣服都像抹布，这是暗示我全换掉的意思么[挖鼻]	NULL	My mother said the clothes are like a rag, this is a hint that I completely change the meaning of "digging the nose"
1746197957	E50bHFPeA	 【なめこのうた-福原遥 高清MV-音悦台】 （分享自 ） 	NULL	Will u [- was of Fukuhara Harukatakashi MV- for Nokia] (share)
1747036900	E5NNYjUoc	攒了二十多年的我爱你，脱口而出的却是，今夜的月色落在你的睫毛上，这细碎的柔光让我想好好品尝	NULL	Saved more than and 20 years of I love you, the moon tonight is to blurt out, fall on your eyelashes, this fine light makes me want to enjoy
1747036900	E5EIdmNG6	和一颗不爱露脸的蘑菇	NULL	And a mushroom that does not love to show his face.
1747096323	E5WO5A5jU	近两年我的审美发生了翻天覆地的变化[惊讶]之前觉得很丑也欣赏不动的人现在慢慢觉得也挺耐看很有魅力～是的吧人长大一点就可以全维度的看待一个人了	NULL	The past two years before my aesthetic changes [surprised] feel very ugly and turn the world upside down real people appreciate slowly now think it is quite attractive to look is the right person to grow up a little you can view one full dimension
1747096323	E5NGn1ywt	说实在的好记性不如烂笔头！之前考试写的笔记写的满天纸飞-坐个地铁啊公交车啊都能拿出来默念三遍～现如今这种生活又要开始了～我又开始写什么了小纸条还得随时拿着背[紧张]	NULL	Really forget it! Before the exam notes written in the paper fly - take the subway bus ah ah can take out meditation three times ~ now this life will begin to write what I started a small piece of paper may hold back [nervous]
1747589652	E5kSO2WRv	好暖的一部韩剧 虽然很腹黑的学长 可为了女主觉得做一切都值得  每次拥抱都超暖 可是为什么结局是开放式的啊 我就喜欢大团圆的结局 就喜欢他们相拥的结局   不过朴海镇真帅 哈哈	NULL	A good warm drama although very senior to subtly malicious women feel that everything is worth every hug but why super warm end is open ah I love happy ending love embrace their ending but Park Hae Jin is really handsome.
1747589652	E5cpzDQMa	谢谢JJ的礼物  这秋高气爽的日子  这满满的心意  这过硬的手艺  PS：你这两天消耗了多少水果 都往下掉 [哈哈][笑cry]看见这么迫不及待往下掉的水果 我只好提早享用了 哈哈 [色][色]	NULL	Thank you JJ this present day full of mind an invigorating autumn climate that this excellent technology PS: you this two days how much consumption of fruit dropping. [laughs laugh cry] see so wait down fruit I had earlier enjoyed ha [color] color.
1747639541	E5cXepeVr	[照相机]	NULL	[camera]
1748005381	E5VothCEM	在银行看到一个柜面的姑娘，长得可真是水灵漂亮，大眼睛水蛇腰樱桃嘴明眸齿白眉眼动人，这种人一出生就已经赢在了起跑线上吧	NULL	See a girl at the bank counter, looks really beautiful, big eyes, cherry mouth eyes eye tooth Hoolock moving, the people are born to win on the starting line.
1748005381	E5QxOtkrw	哎 去你妈的做了什么孽才变成现在这样 抄心经去	NULL	Hey fuck you do what evil to become now copied to the heart
1748293994	E5IyDFH2Q	我分享了 的文章 	NULL	I share the article
1748364801	E5kXcc57l	要炸了！！！拯救不了的炸了♫我正在收听这首单曲:陈粒-易燃易爆炸♫ (来自 听手机QQ音乐，QQ等级加速升！)	NULL	To blow up!!! Save the bomb on me is listening to this song: Chen particle - flammable explosive on the mobile phone QQ (from listening to music, accelerate the rise of QQ level! )
1748364801	E56psfKXh	哦  	NULL	Oh
1748604550	E5kYD8tiG	  茶碗蒸很嫩，寿司的个头大，分量足，炒乌冬还不错，平时不怎么吃乌冬的我也忍不住多吃两口。人均消费50，要消费满188才能坐包间，中午1点上的第一道菜1点42才上了最后一道菜，可能是因为中午厨师休息了一会。	NULL	Chawanmushi is tender, sushi big, full weight, fried Udon is also good, usually do not eat Udon, I can not help but eat two. The per capita consumption of 50, to spend 188 to sit rooms, 1 noon on the first dish at 1:42 on the last dish, probably because the cook had a rest at noon.
1748604550	E4SQZpx0S	 轻乳酪蛋糕，比较湿软，我是比较喜欢的，老张吃不惯(好像老一辈的都比较喜欢戚风那种)[挤眼]	NULL	Light Cheese Cake, relatively wet and soft, I love is not accustomed to eating, Zhang (more like the older generation of love are Chiffon kind) [eye]
1748896484	E5hrIA1FF	红包出现，两眼放电。小手一抖，红包到手！我刚抽到了nicole8926 的现金红包喔！你也抽个红包开心下吧~	NULL	Red appears, the two discharge. Hand shake, hand in hand! I just had a cash bonus of nicole8926! You also draw a red happy next bar ~
1749276544	E4W0N6JZH	以后请叫我李胡兰[微笑][微笑][微笑][微笑]至于原因 恩 就不讲了	NULL	Please call me Lee churan. [] [] [Smile Smile Smile Smile] Why do not speak well
1749789045	E5XpavqIE	8月以来的日子过得飞快，上个月的微博感觉像是昨天才发的。我以为玩游戏也就是两三天的事情，结果也已经一个月了。之前觉得在家太枯燥痛苦了恨不得立刻开学，我此刻十分后悔之前单纯的想法，我宁愿在家枯燥死也不想去上学。这说不定就是我最后一个放肆葛优瘫的暑假了。[哼]	NULL	The day has passed since August, and last month's micro-blog felt like it was yesterday. I thought that playing games is also a matter of two or three days, the results have been a month. Before feeling at home is too dry and painful, and immediately began to hate, I am very sorry before the simple idea, I would rather die at home and do not want to go to school. Maybe this is my last summer vacation with Ge You paralysis. [sing]
1749789045	E5Xk3u4R6	word妈？？？？天啊我妈居然买了个hello Kitty的手机壳？？要知道我买的壳稍微小清新或可爱了一点她就会嘲讽我……[吃惊]	NULL	Word??????? God, my mom bought a Kitty Hello phone shell?? To know that I bought the shell a little fresh or a little fresh or a little she would laugh at me...... [surprised]
1750154667	E5dZscoVm	“开啤酒[啤酒]时候眼睛眨呀眨！”我的秒拍作品，一起来看~（使用录制）	NULL	"Open beer [beer] when the eyes blink!" My second shot works, together to see ~ (using the recording)
1750325564	E5BgSCs5y	半边脸肿了[拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜]左边脸看起来是个200斤的胖子才该有的脸[拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜][拜拜]真丑啊[拜拜][拜拜][拜拜][拜拜][拜拜][拜拜]	NULL	Half of the face is swollen. Bye bye bye bye bye bye. [[] [] [] [] bye bye bye bye bye bye bye bye bye bye bye bye bye bye. [] [] [] [] [] [] bye bye bye bye bye bye bye bye bye bye bye bye bye bye [] [] []] the left face looks like 200 pounds of fat to some of the face. [] [] [bye bye bye bye bye bye bye bye bye bye bye bye. "Bye bye bye bye bye bye. [] [] [] [] [] [] bye bye bye bye bye bye bye bye, bye bye [] [] really ugly ah, bye bye bye bye bye bye bye bye bye bye []] [] []
1750325564	E5wsfoa4Q	论如何安慰一个拔牙疼的想哭还饿的要死却不能吃饭的女朋友	NULL	On how to comfort a tooth extraction pain to cry but also hungry to die but can not eat a girlfriend
1750474945	E5FuqDAaB	要你选一辆车，你会选择？[喵喵] 	NULL	You choose a car, you will choose? [she]
1750696213	E5iM2jFnX	天啊，李冰冰的脸什么时候变成这样的[惊恐]我都认不粗来[害怕]怎么肥事。。	NULL	Oh, my God, Li Bingbing's face turned into such a panic. I didn't know what to do..
1750708580	E5gEogCeA	没人帮带孩子，只能求助老妈，妈妈还在工作只给看上午有时候妈妈有事我们还得请假，我真觉得好累，孩子你快长大吧！	NULL	Nobody Bangdai children, can only help the mother, mother is still working only to see the morning sometimes mother something we have to leave, I really feel tired, your children grow up fast!
1751151872	E5YKT94Vz	失望积累到临界点于是终于放弃了是怎样的体验？[好囧][好囧]如释重负。	NULL	Disappointed to accumulate to the critical point and finally gave up what kind of experience? [good] embarrassed embarrassed. Okay.
1751151872	E5YbOCWHu	小紫那个微博的评论区看得我好爽啊 刚刚随手一刷看到有人说想变成王锦 就可以睡彦容那么可爱的混血小男生 …妈的 脑补得我幻肢都硬了 彦容无论是性格还是脸都可爱的爆炸 [许愿]	NULL	Small purple that micro-blog's comments area to see I'm so cool just with a brush to see some people say that want to be able to become king Kam Shui Yanrong so cute little boy... Fuck up my brain phantom limb are hard to let Yan whether [] a character or explosion lovely face
1751197280	E5XpQcVTV	仍然会固执坚持自己的看法。再好的人，没有共同话题和爱好对我而言也是白搭。	NULL	Still stubbornly insist on their own views. Good people, no common topic and love for me is no good.
1751675285	E5T37nILg	2004年初我还在海碗居炸酱面馆工作，常去吃饭的赵铁群先生看我跟孔云龙跑的挺快，伺候客人挺热情，帮我们介绍跟我师父认识，当时觉得是天方夜谭，农村出来打工根本不可能成为一名相声演员，而且我连相声是什么我都不知道，就委婉拒绝了。没几天赵先生第二次提起这个事，下了班我跑到南磨房医院的黄色IC&nbsp;	NULL	I was at the beginning of 2004 Hai Wan Ju noodles to go to eat, Mr. Zhao Tiequn looked at me and Kong Yunlong ran very fast, very enthusiastic to help us serve the guests, introduced with my master, then that is Arabian Nights, rural out of work may not be a comic actor, and I even talk is what I don't you know, declined. A few days of Mr. Zhao second mention this thing, the class I went to the hospital, yellow IC&nbsp;
1751675285	E5N0djLC3	明天晚上民族宫见。	NULL	See the National Palace tomorrow night.
1752756201	E5PWzuLxB	人要是倒霉起来。。。真是。。。[微笑]	NULL	If a man is in bad luck... Really... [smile]
1752756201	E5NaZ7KYT	支付宝登不上，网银用不了，淘宝打不开，连手机卡都是借的，感觉这辈子都不能更惨了……[衰][衰][衰] 	NULL	Alipay is not on board, can not use online banking, Taobao open, even the mobile phone card is to borrow, do not feel this life more miserable...... [[] []] ring ring ring
1755335277	E5vzRclsS	发一张自拍[心]	NULL	Send a self time [heart]
1755371555	E5UFGcuru	 已经在内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！	NULL	Has been in the mainland list for you, you are my only persistent in this life oh. Awesome！
1755371555	E5KQbcxp9	 已经在内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！	NULL	Has been in the mainland list for you, you are my only persistent in this life oh. Awesome！
1756629007	E5lVqA2KV	我分享了 的文章        96年那次女排决赛对美国吧？如果没记错。。。我也是半夜三点起来看的，爸妈也都起来了，也是打满了五局，最后输了，我心里那个难过[泪]	NULL	I share the article in the 96 year of the women's volleyball final against the United States? If not mistaken... I am also at three in the middle of the night to see, and my parents are up, but also filled with five games, and finally lost, my heart that sad [tears]
1756891775	E5OeTutEL	给你们安利一个超好玩的，有毒的游戏，贪吃蛇大作战，哈哈哈哈哈！[吐舌头][吐舌头][吐舌头]	NULL	Give you a super fun Amway, toxic game, snake big fight, ha ha ha ha ha! [] [] [tongue tongue tongue]
1756891775	E5HauEr5R	要加油	NULL	Want to refuel
1756925335	E5V2uoSnB	鸟枪换炮，提臀修身[馋嘴][馋嘴]<br/>听说刚开始坐不适应，表示并没有哎，可能我是一个反应迟钝的男孩吧[思考][思考]<br/>感觉上班像在坐月子[偷笑][偷笑]<br/>总之感觉棒棒哒[good][good]喜欢喜欢[爱你][爱你]爱你呦亲爱的[亲亲][亲亲]	NULL	Hip slim Chanzui Conditions are becoming better and better., [[] Chanzui]<br/> heard at the beginning to sit, said there is no way, I may be a dull boy. [] [on]<br/> feel like thinking about work in confinement. [laughing laughing]<br/> Bang Bang Da [good][good] love love feeling in [I love you] love you my dear [[]] kiss kiss
1756925335	E5OHmt8nD	《甘肃白银杀人案》教育我们科技的重要性和人不能干坏事[赞][赞][赞]	NULL	The importance of the "Gansu silver murder" education of our technology and people can not do bad things. [] [praise praise praise]
1757084213	E5QwwFCbh	我想 我爱上了薛之谦	NULL	I think I fell in love with Joker
1757084213	E5t9Wfm5c	入了迷，着了魔	NULL	Into the fans, with the magic
1757842353	E5f64DP71	Tag 1 	NULL	Tag 1
1757842353	E4ThRDxIp	再一再二不再三 	NULL	Again two no longer three
1758029003	E5Qt2Ffe5	[女孩][女孩][女孩]	NULL	[[] []] girl girl girl
1758029003	E54LGjQFg	be an aashole[闭眼][脸红]	NULL	Be an aashole[closed []] blush
1759167047	E5Xh82cBO	 您在看什么？？？肚子里有百宝箱？？？	NULL	What are you looking at??? A treasure chest belly???
1759398287	E5Y2nefL1	 机场一组街拍，帅呆了。	NULL	Airport a group of street shooting,.
1759398287	E5Vb70sE5	初中没有张小宇<br/>高中没有余淮<br/>大学没有肖奈<br/>告诉我我不是一个人[doge]	NULL	No <br/> no more than high school junior high school Zhang Xiaoyu Huai <br/> university no Xiao Nai <br/> told me that I am not a person [doge]
1759449535	E5FBxryQi	颜值和智慧都呵呵，我[爱心传递]的女神就是这个范儿！具备，真的是少有的	NULL	Yan value and wisdom are Oh, I love to pass on the goddess is the fan! Yes, it's really rare.
1759524791	E5GYTcGDk	好清爽嗷	NULL	Good refreshing oh
1759524791	E5xFr5Qgb	biu~	NULL	Biu~
1759653217	E5Drzw9mp	命运就是这样 你走的每一步都会影响下一步 但是永远不知道下一步会是怎么样 我们做人可以控制的 就只是对我们走的每一步负责任	NULL	Fate is the way you go every step will affect the next step but never know what the next step will be how we can control the life is just for us to go every step of the way.
1760242155	E5411asXH	小毛头们[微风]	NULL	Moppets [wind]
1760661542	E5xGRFlWJ	可以，这是两年内第三次被裁了。[拜拜][拜拜][拜拜]	NULL	Yes, it was the third time in two years. Bye bye bye bye bye bye [] [] []
1760661542	E5eZysymT	刚出去遛弯儿回来，进门以后在黑暗里我又跺脚又咳咳几声，发现是家里的灯没亮。。。[拜拜][拜拜][拜拜]	NULL	Just walk or back door after dark I stomped his feet and cough a few times, that is the home of the light is not bright... Bye bye bye bye bye bye [] [] []
1760732065	E5PFkmMqN	去不了，干巴巴看着[悲伤][悲伤][悲伤]	NULL	Can't go dry at [] [] [] sad sad sad
1760779213	E5F2tf6Ul	重新开始奋斗了，加油！	NULL	Start fighting again, come on!
1760779213	E5iN8gTJY	吃饱了肚子，吃饿了心！ 	NULL	Have a full stomach, eat hungry heart!
1760806160	E5Nudu3O5	……我想留下来 可最终说不出这句话	NULL	...... I want to stay, but I can't say it in the end.
1760806160	E5LbixSjm	……梦想还是要有的 万一实现了呢	NULL	...... Dream or to have to realize the case in case
1761056637	E5HEhfMJT	[微风]	NULL	A breeze
1761292461	E5YJCeH99	[doge]吸引小动物的体质  刚吃完饭和我妈散步  走着走着感觉到有胳膊肘被砸了一下  那感觉很难形容就像一只巨大的带毛的虫子  浑身汗毛竖起  吓一跳  [微笑]然后发现是一只小麻雀  一开始以为是受伤了  后来发现应该是太小了还飞不动从窝里掉下来了  本来想带回家养几天  毕竟在路边上车多人多狗多猫多&nbsp;	NULL	[doge] attract small animal body after dinner and my mother for a walk walk feel elbow smashed a bit difficult to describe that feeling like a huge hairy worm sweat hair up jump [smile] and then found a sparrow first thought is later found should be injured too small is not fly fell out of the nest would like to take home a few days after the roadside dog cat on multi person multi &nbsp;
1761292461	E5YaVkFif	早上上班的时候往东去  晚上下班的时候向西走  因此和太阳结下的怨  有些人是不会懂的。[微笑]	NULL	When the morning rush to the east to go west so when night work and the sun under the blame there are people who do not understand. [smile]
1761443382	E5s2e1HJE	内蒙行的时候手机丢了后跑步记录也丢了。今天终于恢复跑步了，一个电话治好了一周的拖延症[哈哈] 	NULL	Inner Mongolia line when the phone is lost after the running record is lost. Today, I finally resumed running, a phone call for a week of procrastination [HA HA]
1761443382	E56zuhbRl		NULL	
1761616742	E5Yg81sDJ	躲过了“葛优瘫”，却栽在了“熊猫瘫”中不可自拔，一个个像是戳破的芝麻汤圆。胖达：我已经是颗废汤圆了……[哈哈][哈哈][哈哈][哈哈]（图）	NULL	"Ge You escaped paralysis, was planted in the" panda paralysis can not extricate themselves ", like a burst of sesame Glutinous Rice Balls. Fat: I have is a waste of Glutinous Rice Balls...... Ha ha ha ha ha ha. [] [] [laughs] (Figure)
1761616742	E5XEKdQN8	中秋节要到了，月饼君正在向大家挥手致意~亲们喜欢什么口味的？五仁月饼要不要来一个~[阴险][阴险][阴险][阴险][阴险]	NULL	The Mid Autumn Festival is coming, moon cake Jun is waving to everyone ~ what taste like? Would you like a ~ ~ five Jen moon [] [] [] sinister sinister sinister sinister sinister].
1762254054	E5GJ8xgf3	新年新气象。。。。 	NULL	As the New Year begins, let us also start a new life。。。。
1762478110	E5UuDAMrL	 已经在内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！	NULL	Has been in the mainland list for you, you are my only persistent in this life oh. Awesome！
1762478110	E5R519nLM	 已经在内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！	NULL	Has been in the mainland list for you, you are my only persistent in this life oh. Awesome！
1762672223	E5yqP6N1C	天凉了，被子盖盖好，[熊]抱抱好。	NULL	Cold days, quilt cover, bear hug [good].
1762672223	E5f7EbRp4	北京，入秋了。	NULL	Beijing, autumn.
1762696830	E56fkiRtN	她说她多想端一锅小白粥 在楼下等我。象四年前那样。	NULL	She said she wanted to end a pot of porridge White waiting for me downstairs. Like four years ago.
1762696830	E4WQpAomT	當信息來到 不要假裝看不到  因為 越往後 你越不知道如何假裝下去	NULL	When the message comes, don't pretend that you don't see it because the more you don't know how to fake it.
1762861340	E5Xw0cUhc	女大学生疑似被包养？？？	NULL	Female college students suspected of being kept???
1762861340	E5QxJq3yh	 半包酱的火鸡面试色	NULL	Half a packet of sauce for the turkey interview
1762888060	E5Q4y6Zl3	我已经相信有些人我永远不必等, 所以我明白在灯火阑珊处为什么会哭	NULL	I believe that some people I never have, so I understand why cry in the darkness
1763227903	E5nRul9w6	今天在店里巧遇公交车我让座给她的孕妇，她很开心的主动和我打招呼[爱你]……一个阿姨对孙女说，“看阿姨的眼睛多亮啊”[爱你]……	NULL	Today in the store by bus I gave my seat to her pregnant, she was very happy to take the initiative and say hello to you...... An aunt said to her granddaughter, "how bright is the aunt's eyes" [love you]......
1763239821	E5xS5APBP	374真大腿啊，上半场造点、进球、助攻，无所不能	NULL	374 real thigh, the first half points, goals, assists, omnipotent
1763239821	E59nahmWz	一场秋雨一场寒，刚一出门，13度，冻得流鼻涕了	NULL	A cold autumn rain, just one out, 13 degrees, cold runny nose
1763794651	E5Rcqkuyx	今天，很巧，是我的生日，也是400天纪念日。虽然偶尔也会吵吵，不过这都不重要，毕竟，陪伴是最长情告白，我们要一直在一起!	NULL	Today, it is a coincidence, is my birthday, but also the 400 day of the day. Although sometimes noisy, this is not important, but after all, the company is the most long love confession, we should have been together!
1763846595	E5q5Lw52K	别闹，还是得认认真真祝自己生日快乐，心想事成才行～我爱自己[得意地笑]	NULL	Come on, still have to seriously wish myself Happy birthday, wishing to ~ I love myself [laughs]
1763972403	E5XWAsWOj	东北也洋气的赶上了一回台风lionrock！天已漏...不学习的熊孩子啊西吧来接受审判吧！[拍照][怒骂][怒骂] 	NULL	Northeast also catch a western style back to typhoon lionrock! The day has been leaked... Do not learn bear children ah West to accept the trial bar! [[] []] curse curse photos
1763972403	E5LrLtzuv	我发表了头条文章:《词爹考研跪着背：志愿者招募范文》 	NULL	I made a headline article: "the words father study section on one's knees: volunteer recruitment model
1764116281	E5nyjkUQd	 川航3U8788   几点飞 	NULL	Sichuan Airlines 3U8788 some fly
1764639651	E5yhEAxYv	“吴邪脑补鹿晗的声音，小哥脑补杨洋吧[馋嘴][害羞]” 我正在听《盗墓笔记1-七星鲁王宫 (05)更多精彩关注微信公众号：悬疑...（分享自）	NULL	"Wu Xie brain Luhan's voice, brother Yang Yang [] [brain Chanzui shy]" I was listening to the "Tomb of Lu Palace 1- seven (05) more attention WeChat public number: suspense... (share)
1764777902	E5I3FfNgV	好久不见[喵喵]	NULL	Haven't met in a long time [she]
1764777902	E5zfllH3n	“我不知道他的名字<br/><br/>我记得他的样子”[月亮]	NULL	"I don't know his name <br/><br/> I remember his appearance" [moon]
1764869622	E5lcA4y3h	今晚上新的新娘指甲大家会喜欢么	NULL	Would you like to have a new bride's nails tonight
1765110212	E5OFp3JFK	已经深深的沉溺于和[日本]有关的一切[眼泪][眼泪][眼泪] 还有终于拔草这家据说很出名的高跟鞋，这双8.5cm的确实真真的偏大些…	NULL	Have been deeply addicted to the [Japanese] and all the tears, tears, tears [] and finally the weeding is said to be very famous high-heeled shoes, really really this pair of 8.5cm the more large...
1765110212	E5GhlfMqN	[doge]这两天重温如懿传小说，代入了霍建华后，我实在不能接受霍霍在里面雨露均沾的周旋在各个嫔妃之间，还有辣么多的船戏…不要说林心如不愿意了，我都不愿意[泪][泪][泪]	NULL	[doge] the two day review as Yi Chuan novels, by Wallace Huo, I really can't accept rattling inside and the rain descends deal in various concubines between and so much the boat show... Don't say that Ruby Lin is not willing to, I do not want to tears, tears tears [] []
1765313881	E4PTTbem2	有些九江人真让人讨厌啊[打脸]真当别人听不懂九江话吗[微笑]	NULL	Some Jiujiang people really hate [face] ah really when others do not understand what Jiujiang [smile]
1765396035	E5WoZw24Y	😶😐😕🙁😑	NULL	😶😐😕🙁😑
1765396035	E5NRCENtQ	感觉被推了一把😶	NULL	The feeling of being pushed
1765912534	E54XAqKDf	你好！外滩！  想起我们上次到这里的情景了[眼泪][眼泪][眼泪] 	NULL	Hello The Bund! Remember we were here last scene [] [] [tears tears tears]
1765925584	E5yahsNSH	[泪][泪]演唱会症候群[doge]	NULL	[tears] [] tears concert syndrome [doge]
1765925584	E5y9Co4EN	终于盼到今天[泪] 田壮壮你太美了！！！[泪][泪][爱你][爱你] 南京大萝卜带你吃鸭血粉丝汤！[飞吻]	NULL	Finally look forward to today [tears] Tian Zhuangzhuang, you are so beautiful!!! [tears, tears of love you Nanjing radish take you to eat the duck blood soup! [kiss]
1765968793	E5lwyrdWa	愿世间所有爱，都能被真心对待，不留遗憾。	NULL	I wish all the love in the world can be treated with sincerity, without regret.
1765968793	E55NKxPyx	sum.[椰树][椰树][椰树]	NULL	Sum.[[] []] coconut coconut palm
1766012955	E5Otfvngq	为什么重庆没有吉祥馄饨没有重庆鸡公煲	NULL	Why is Chongqing not Chongqing chickenhotpot not auspicious wonton
1766012955	E5MuwiKh8	想吃烧烤想撸串想吃烤鱼	NULL	Eat barbecue to eat fish on the line
1766119242	E5y03mJXE	我这样的糙汉居然选上了和足太一起跳染上你的颜色，开心开心开心[太开心][太开心][太开心]	NULL	I was so rough, Han chose and foot too jump together with your color, happy happy happy happy, too happy, too [happy] too
1766415954	E54VP8uPW	7755338要习惯不发短信，少打电话的生活。	NULL	7755338 to get used to not send text messages, less call life.
1766415954	E4Wrp5UV5	7755330锄禾日当午，啥都不靠普。闲来没事做，不如斗地主。	NULL	7755330 ChuHeRiDangWu, do not kaopu. To do nothing, as landlords.
1766495894	E5ptlbNGC	好烦哦睡不着网还不好	NULL	Good trouble Oh, sleep is not good
1766495894	E5bW1B422	神tm新境界请收下我的膝盖 	NULL	God TM new level please take my knees
1766678050	E5qy7CT4K	一整个晚上都在拉肚子加肠绞痛，半条命都没了[困]	NULL	A whole night in the diarrhea and intestinal colic, half life are not trapped []
1766678050	E4UhsBIMC	热的人要冒火了！！！有的人已经晒得和沙发顺色了。。。不开心[生气]	NULL	Hot to me!!! Some people have been in the sun and the sofa... Not happy [angry]
1767117537	E5GT9lR5X	为了韩庚注册的微博，可是老韩好少更博啊，那个时候用微博的人也不太多，老韩为推广微博做了很大的宣传呢	NULL	In order to Han Geng registered micro-blog, but the old Korean good little more Bo ah, that time with micro-blog's people are not too much, the old Han for the promotion of micro-blog to do a lot of publicity
1767243132	E5GIzFvTS	[花痴] 	NULL	[i]
1767243132	E5ChEdXNJ	估计是会无限回购的3d	NULL	Is estimated to be infinitely buy back 3D
